{X 89.8209, Y -50.7836, Z -265.1025, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -49.3390, Z -266.1811, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -47.7585, Z -268.2460, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -46.9237, Z -270.7087, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -44.9543, Z -282.7742, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -43.5669, Z -285.2344, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -40.9177, Z -286.2137, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -12.6825, Z -286.2819, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -11.9769, Z -286.5762, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -10.5654, Z -287.9945, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -9.8598, Z -288.2888, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 33.9197, Z -288.3946, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 36.5550, Z -288.9234, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 38.7968, Z -290.4064, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 40.3114, Z -292.6178, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 40.8839, Z -295.2364, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 41.3818, Z -319.9299, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 42.2983, Z -323.0248, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 44.6658, Z -325.2187, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 49.8289, Z -327.9040, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 51.1601, Z -328.4091, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 52.5722, Z -328.5918, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 81.7971, Z -328.9331, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 87.2662, Z -331.1999, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 89.6793, Z -336.6060, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 89.9632, Z -344.0000, A 0, B 0,  C 0}, grFeedrate 127.32}
